host_id,number_of_listings,number_of_actual_bookings_042017,number_of_predicted_bookings_042017,number_of_actual_bookings_052017,number_of_predicted_bookings_052017,number_of_actual_bookings_062017,number_of_predicted_bookings_062017,number_of_actual_bookings_072017,number_of_predicted_bookings_072017,number_of_actual_bookings_082017,number_of_predicted_bookings_082017,number_of_actual_bookings_092017,number_of_predicted_bookings_092017,number_of_actual_bookings_102017,number_of_predicted_bookings_102017,number_of_actual_bookings_112017,number_of_predicted_bookings_112017,number_of_actual_bookings_122017,number_of_predicted_bookings_122017,number_of_actual_bookings_012018,number_of_predicted_bookings_012018,number_of_actual_bookings_022018,number_of_predicted_bookings_022018
2478675,3,2.33,1.67,3.33,2.198,5.33,3.1036,1.0,4.88472,1.67,1.7769439,0.0,1.6913887,6.0,0.33827776,2.67,4.8676558,1.0,3.1095312,2.33,1.4219062,2.33,2.1483812
2480939,3,1.67,0.0,5.67,1.336,4.33,4.8032,7.33,4.42464,3.67,6.748928,3.33,4.2857857,5.0,3.521157,3.33,4.7042313,5.67,3.6048462,3.67,5.2569695,2.33,3.9873939
3038687,6,0.33,0.17,0.17,0.298,0.0,0.1956,0.33,0.03912,0.17,0.271824,0.5,0.19036481,0.17,0.43807295,0.17,0.22361459,0.17,0.18072292,0.33,0.17214459,0.0,0.29842892
3363720,3,2.67,1.0,1.0,2.336,2.33,1.2672,1.67,2.11744,1.0,1.759488,1.33,1.1518975,1.33,1.2943795,0.33,1.3228759,0.67,0.5285752,1.33,0.64171505,1.33,1.192343
3604585,3,0.0,0.0,1.33,0.0,3.67,1.064,1.67,3.1488,1.0,1.96576,1.33,1.193152,2.0,1.3026304,2.33,1.8605261,1.33,2.2361052,3.0,1.511221,0.33,2.7022443
3709510,3,0.0,0.0,0.0,0.0,0.67,0.0,0.33,0.536,0.0,0.3712,0.33,0.07424,0.0,0.278848,0.0,0.0557696,0.0,0.01115392,0.33,0.002230784,0.0,0.26444617
3716641,6,0.0,0.17,0.67,0.034,0.17,0.5428,0.17,0.24456,0.33,0.184912,0.17,0.3009824,0.17,0.19619648,0.17,0.1752393,0.33,0.17104787,0.33,0.29820958,0.17,0.32364193
3793540,3,0.0,0.33,0.0,0.066,0.67,0.0132,0.33,0.53864,0.0,0.371728,0.0,0.0743456,0.67,0.014869121,0.33,0.5389738,0.33,0.37179476,0.67,0.33835894,0.67,0.6036718
4014688,6,0.5,0.33,1.33,0.466,0.83,1.1572,2.33,0.89544,1.33,2.043088,1.83,1.4726176,2.17,1.7585236,3.0,2.0877047,1.5,2.817541,1.83,1.7635082,0.67,1.8167017
4050318,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4112404,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4113132,4,0.0,0.5,0.25,0.1,1.25,0.22,1.5,1.044,0.75,1.4088,0.5,0.88176,1.25,0.576352,1.25,1.1152704,0.0,1.223054,0.5,0.24461082,0.75,0.44892216
4129805,3,1.33,2.67,1.67,1.598,0.33,1.6556,2.0,0.59512,2.33,1.719024,1.0,2.2078047,2.0,1.2415609,1.0,1.8483121,2.67,1.1696625,4.0,2.3699324,1.0,3.6739864
4259154,3,0.33,0.0,1.0,0.264,0.67,0.8528,1.33,0.70656,0.0,1.205312,0.67,0.2410624,2.67,0.5842125,1.0,2.2528424,0.67,1.2505685,1.33,0.7861137,0.33,1.2212228
4297106,3,3.33,2.33,2.67,3.1299999,6.33,2.762,4.0,5.6164002,8.0,4.32328,4.33,7.264656,1.67,4.916931,4.67,2.3193862,3.67,4.1998773,7.0,3.7759755,4.33,6.355195
4299040,4,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.6,0.25,0.120000005,1.5,0.224,0.75,1.2448,0.0,0.84896,0.0,0.169792,1.25,0.033958398,0.5,1.0067917
4601412,3,3.67,3.67,2.33,3.67,4.33,2.598,5.0,3.9836,3.33,4.79672,3.0,3.623344,3.33,3.1246688,3.67,3.2889338,4.33,3.5937867,4.33,4.1827574,2.67,4.3005514
4734398,3,11.0,8.67,9.33,10.534,5.33,9.5708,12.0,6.17816,14.67,10.835632,12.0,13.903127,10.0,12.380626,10.33,10.476125,8.33,10.359225,6.33,8.735845,3.0,6.811169
5006781,4,4.0,3.25,5.0,3.85,3.75,4.77,5.25,3.954,4.0,4.9908,5.25,4.19816,3.0,5.039632,2.5,3.4079263,1.0,2.6815853,6.5,1.3363171,2.75,5.467263
5164854,3,0.33,0.67,0.0,0.398,0.0,0.0796,0.33,0.01592,1.33,0.267184,0.0,1.1174368,0.67,0.22348735,0.0,0.5806975,0.33,0.116139494,1.0,0.2872279,0.0,0.8574456
5176701,3,0.0,0.0,0.67,0.0,2.0,0.536,0.67,1.7072,0.0,0.87744004,0.33,0.17548801,0.33,0.2990976,1.0,0.32381952,0.33,0.8647639,0.0,0.43695277,0.0,0.08739056
5500327,4,0.25,0.0,0.5,0.2,1.75,0.44,0.75,1.488,0.0,0.8976,1.0,0.17952,1.75,0.835904,1.25,1.5671808,0.75,1.3134362,1.0,0.86268723,0.75,0.97253746
6008257,4,9.0,6.5,8.0,8.5,7.25,8.1,9.25,7.42,7.0,8.884,6.0,7.3768,10.75,6.27536,8.0,9.855072,9.75,8.371015,6.0,9.474203,4.0,6.6948404
6720885,4,0.5,0.0,1.0,0.4,0.0,0.88,0.25,0.176,0.0,0.2352,0.75,0.04704,0.75,0.609408,1.75,0.7218816,0.5,1.5443764,0.75,0.7088753,0.75,0.74177504
6885157,7,1.14,0.14,1.43,0.94,2.57,1.332,3.14,2.3224,2.43,2.97648,3.86,2.539296,3.86,3.5958593,3.57,3.8071718,2.86,3.6174343,3.57,3.0114868,2.43,3.4582973
7136700,3,1.33,1.0,1.33,1.264,2.33,1.3168,1.33,2.12736,2.33,1.489472,2.33,2.1618943,2.0,2.2963789,2.33,2.0592759,2.67,2.275855,4.33,2.591171,1.0,3.9822342
8288419,4,1.25,0.25,1.75,1.05,3.0,1.61,1.75,2.7220001,1.75,1.9444001,1.75,1.78888,1.5,1.757776,2.25,1.5515552,1.0,2.110311,1.5,1.2220622,1.0,1.4444125
8792814,3,0.0,0.0,0.33,0.0,1.0,0.264,0.67,0.8528,0.67,0.70656,0.67,0.677312,1.67,0.6714624,1.0,1.4702924,0.0,1.0940585,0.67,0.2188117,0.0,0.57976234
9522524,3,0.33,0.67,1.33,0.398,1.33,1.1436,0.33,1.29272,2.33,0.52254397,1.67,1.9685088,0.0,1.7297018,0.33,0.34594035,0.67,0.33318806,0.67,0.6026376,0.33,0.6565275
9820942,3,2.67,2.67,6.33,2.67,5.67,5.598,4.67,5.6556,2.67,4.86712,6.0,3.1094239,4.33,5.421885,4.67,4.548377,4.33,4.645675,5.67,4.393135,3.0,5.414627
9996045,3,0.33,0.0,1.33,0.264,1.67,1.1168,0.67,1.55936,1.67,0.847872,2.0,1.5055743,1.0,1.9011148,2.0,1.180223,1.0,1.8360445,1.67,1.1672089,0.0,1.5694418
13649613,3,2.33,2.33,1.0,2.33,2.33,1.266,1.0,2.1172,2.33,1.2234399,4.0,2.1086879,1.33,3.6217375,1.33,1.7883475,2.0,1.4216695,2.67,1.8843338,1.33,2.5128667
14902860,5,0.0,0.2,0.6,0.04,1.2,0.488,0.8,1.0576,0.4,0.85152,1.0,0.490304,1.2,0.8980608,1.2,1.1396122,0.2,1.1879225,1.2,0.3975845,0.0,1.0395169
15603335,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
