host_id,number_of_listings,number_of_actual_bookings_042017,number_of_predicted_bookings_042017,number_of_actual_bookings_052017,number_of_predicted_bookings_052017,number_of_actual_bookings_062017,number_of_predicted_bookings_062017,number_of_actual_bookings_072017,number_of_predicted_bookings_072017,number_of_actual_bookings_082017,number_of_predicted_bookings_082017,number_of_actual_bookings_092017,number_of_predicted_bookings_092017,number_of_actual_bookings_102017,number_of_predicted_bookings_102017,number_of_actual_bookings_112017,number_of_predicted_bookings_112017,number_of_actual_bookings_122017,number_of_predicted_bookings_122017,number_of_actual_bookings_012018,number_of_predicted_bookings_012018,number_of_actual_bookings_022018,number_of_predicted_bookings_022018
16151285,3,0.0,0.6209091,0.33,0.593913,0.67,0.5829167,0.0,0.5864,1.0,0.5638462,0.33,0.58,1.67,0.57107145,1.33,0.6089655,0.33,0.633,0.33,0.6232258,0.33,0.6140625
16286162,3,1.0,2.485,0.33,2.4204347,1.67,2.3333333,3.0,2.3068,1.0,2.3334615,2.0,2.284074,3.0,2.2739286,1.33,2.2989655,1.0,2.2666667,1.67,2.2258065,0.33,2.2084374
16954768,3,4.33,4.682273,5.33,4.6669564,5.67,4.6945834,4.67,4.7336,4.33,4.731154,5.0,4.716296,4.0,4.7264285,4.0,4.7013793,1.33,4.678,1.33,4.57,0.67,4.46875
17051201,3,0.0,0.1509091,0.33,0.14434783,0.33,0.15208334,0.0,0.1592,0.67,0.15307692,0.67,0.17222223,0.0,0.19,0.33,0.18344827,0.0,0.18833333,0.33,0.18225807,0.0,0.186875
17479416,3,0.0,1.5895455,1.67,1.5204347,0.67,1.5266666,0.67,1.4924,1.33,1.4607692,1.0,1.455926,1.33,1.4396429,1.33,1.4358621,1.33,1.4323334,1.33,1.4290322,0.33,1.4259375
18397763,6,1.33,0.5527273,0.17,0.58652174,0.33,0.56916666,0.67,0.5596,0.33,0.5638462,0.83,0.5551852,1.17,0.565,0.83,0.58586204,0.5,0.594,0.5,0.5909677,0.33,0.588125
18836774,4,0.0,1.2613636,0.75,1.2065217,1.0,1.1875,0.75,1.18,0.25,1.1634616,0.75,1.1296296,0.25,1.1160715,1.5,1.0862069,0.25,1.1,0.25,1.0725807,0.5,1.046875
19597910,3,0.33,1.6968182,0.0,1.6373913,3.0,1.5691667,1.0,1.6264,2.33,1.6023077,2.0,1.6292592,2.67,1.6425,1.33,1.6779311,0.67,1.6663333,1.0,1.6341935,1.67,1.614375
20828747,3,4.67,3.605909,7.0,3.652174,3.0,3.7916667,5.67,3.76,4.33,3.8334615,3.0,3.851852,5.33,3.8214285,4.33,3.8734484,3.33,3.8886666,6.33,3.870645,2.33,3.9475
21228368,5,0.2,0.59090906,0.8,0.57391304,0.8,0.5833333,0.4,0.592,0.4,0.5846154,0.4,0.5777778,0.8,0.5714286,1.0,0.57931036,0.2,0.5933333,0.2,0.58064514,0.0,0.56875
21641206,3,8.67,6.0913634,8.33,6.2034783,9.33,6.2920833,8.0,6.4136,8.67,6.4746156,9.0,6.555926,7.33,6.643214,10.67,6.6668963,7.33,6.8003335,9.67,6.8174195,5.0,6.9065623
22927481,3,0.0,0.015,0.0,0.014347826,0.0,0.01375,0.0,0.0132,0.0,0.012692308,0.0,0.012222222,0.0,0.011785714,0.0,0.01137931,0.0,0.011,0.0,0.010645161,0.0,0.0103125
23334165,3,0.67,1.4545455,0.67,1.4204348,1.0,1.3891667,1.67,1.3736,0.67,1.385,2.0,1.3585185,1.33,1.3814286,0.67,1.3796551,1.0,1.356,2.33,1.3445162,0.33,1.3753124
23533897,3,0.0,1.8186364,1.33,1.7395653,1.67,1.7225,1.33,1.7204,0.0,1.7053846,1.67,1.6422222,2.0,1.6432143,1.33,1.6555172,0.33,1.6446667,1.0,1.6022581,1.0,1.5834374
25237492,10,0.1,0.34545454,0.1,0.3347826,0.2,0.325,0.3,0.32,0.2,0.31923077,0.7,0.3148148,0.3,0.32857144,0.3,0.3275862,0.3,0.32666665,0.4,0.32580644,0.2,0.328125
