host_id,number_of_listings,number_of_actual_bookings_042017,number_of_predicted_bookings_042017,number_of_actual_bookings_052017,number_of_predicted_bookings_052017,number_of_actual_bookings_062017,number_of_predicted_bookings_062017,number_of_actual_bookings_072017,number_of_predicted_bookings_072017,number_of_actual_bookings_082017,number_of_predicted_bookings_082017,number_of_actual_bookings_092017,number_of_predicted_bookings_092017,number_of_actual_bookings_102017,number_of_predicted_bookings_102017,number_of_actual_bookings_112017,number_of_predicted_bookings_112017,number_of_actual_bookings_122017,number_of_predicted_bookings_122017,number_of_actual_bookings_012018,number_of_predicted_bookings_012018,number_of_actual_bookings_022018,number_of_predicted_bookings_022018
3709510,3,0.0,0.33,0.0,0.0,0.67,0.0,0.33,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.33,0.0,0.0,0.33,0.0,0.0,0.0
3716641,6,0.0,0.17,0.67,0.83,0.17,0.17,0.17,0.0,0.33,0.33,0.17,0.33,0.17,0.33,0.17,0.5,0.33,0.5,0.33,0.33,0.17,0.17
3793540,3,0.0,1.0,0.0,1.67,0.67,0.67,0.33,0.33,0.0,1.0,0.0,0.67,0.67,0.67,0.33,1.67,0.33,0.33,0.67,0.33,0.67,0.33
4014688,6,0.5,0.83,1.33,0.83,0.83,2.17,2.33,1.5,1.33,1.17,1.83,1.5,2.17,3.17,3.0,2.83,1.5,2.0,1.83,1.0,0.67,0.33
4050318,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4112404,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4113132,4,0.0,1.0,0.25,1.25,1.25,2.0,1.5,1.25,0.75,2.25,0.5,1.0,1.25,2.25,1.25,0.75,0.0,0.75,0.5,1.25,0.75,0.5
4129805,3,1.33,1.33,1.67,2.0,0.33,1.0,2.0,1.67,2.33,1.33,1.0,2.33,2.0,1.0,1.0,1.33,2.67,2.0,4.0,3.33,1.0,2.67
4259154,3,0.33,1.33,1.0,1.33,0.67,1.67,1.33,0.33,0.0,1.0,0.67,1.33,2.67,2.33,1.0,0.33,0.67,1.33,1.33,0.67,0.33,0.0
4297106,3,3.33,2.0,2.67,3.0,6.33,3.33,4.0,2.33,8.0,5.33,4.33,2.0,1.67,1.33,4.67,1.67,3.67,3.0,7.0,2.67,4.33,2.33
4299040,4,0.0,0.25,0.0,0.75,0.75,0.25,0.0,0.25,0.25,0.5,1.5,2.25,0.75,0.25,0.0,0.25,0.0,0.75,1.25,0.0,0.5,0.0
